Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000000,Male,No,2,Graduate,No,4762,1000,146,240,1,Rural,1
LP000001,Female,Yes,0,Graduate,No,2945,4000,562,180,1,Semiurban,0
LP000002,Male,Yes,3+,Not Graduate,No,7763,4000,265,360,1,Urban,1
LP000003,Male,Yes,0,Graduate,No,9911,0,181,240,1,Semiurban,1
LP000004,Male,Yes,2,Graduate,No,1552,3000,309,120,1,Semiurban,0
LP000005,Male,No,1,Graduate,No,11449,1000,174,480,1,Rural,1
LP000006,Male,No,0,Graduate,No,7070,2000,131,180,1,Semiurban,1
LP000007,Female,No,2,Graduate,No,9079,2000,332,480,1,Semiurban,1
LP000008,Male,Yes,3+,Graduate,No,3166,0,108,240,0,Urban,0
LP000009,Male,Yes,0,Graduate,No,8401,1000,593,120,0,Urban,0
LP000010,Male,No,0,Graduate,No,4285,1000,210,360,1,Rural,1
LP000011,Female,No,3+,Graduate,No,2219,0,333,480,1,Semiurban,0
LP000012,Female,Yes,1,Not Graduate,No,10097,1000,155,360,1,Semiurban,1
LP000013,Male,No,3+,Graduate,No,8355,3000,154,120,0,Semiurban,0
LP000014,Male,No,0,Graduate,No,3794,0,488,480,1,Rural,0
LP000015,Male,Yes,3+,Graduate,No,9763,3000,277,360,0,Semiurban,0
LP000016,Male,Yes,2,Graduate,No,11745,1000,631,360,0,Urban,0
LP000017,Male,Yes,3+,Not Graduate,Yes,10921,0,367,480,0,Rural,0
LP000018,Male,Yes,0,Graduate,Yes,11259,1000,513,120,1,Urban,0
LP000019,Male,Yes,3+,Graduate,No,13374,0,648,360,1,Urban,0
LP000020,Male,No,1,Not Graduate,No,12645,1000,521,240,1,Rural,0
LP000021,Male,Yes,3+,Graduate,No,5982,3000,105,480,1,Urban,1
LP000022,Male,Yes,1,Not Graduate,No,2198,3000,674,180,0,Semiurban,0
LP000023,Male,Yes,2,Graduate,No,8743,1000,62,180,1,Rural,1
LP000024,Male,Yes,1,Graduate,No,14988,0,489,120,1,Urban,0
